relation,package_id,title,category,rating,ratings_count,downloads,developer,version,update_date,description,serp_appearances,serp_avg_rank,loaded_reviews,icon_url,screenshot_count,source_url,collected_at
direct,com.sopelus.horoscope,"Гороскопы бесплатно, натальная карта",Образ жизни,4.6,,7 тыс +,Рогов Дмитрий,1.2,24 июл 2025,"Откройте для себя удивительный и загадочный мир астрологии с нашим бесплатным приложением! Погрузитесь в путешествие самопознания и откройте новые горизонты с помощью индивидуальных гороскопов, точных натальных карт и глубокого астрологического анализа совместимости. Всё, что вам нужно — всегда под рукой, понятно, удобно и абсолютно бесплатно!

Наше приложение создано как для увлечённых астрологией, так и для новичков, которые только начинают открывать для себя влияние звезд. Каждый пользователь найдет здесь полезные функции, настроенные под его интересы и задачи.

В вашем распоряжении разнообразные и актуальные астрологические прогнозы: ежедневные, еженедельные и ежемесячные гороскопы для всех 12 знаков зодиака — Овен, Телец, Близнецы, Рак, Лев, Дева, Весы, Скорпион, Стрелец, Козерог, Водолей, Рыбы. Наши гороскопы помогут принимать осознанные решения, справляться с жизненными трудностями и уверенно идти к успеху, а также вовремя использовать возможности, которые предлагают вам звезды.

Создайте сразу несколько натальных карт — для себя, детей или ваших близких. Наш продвинутый расчёт включает дату, время и место рождения, что позволяет сделать астрологический анализ максимально точным и глубоким. Узнайте свои уникальные сильные стороны, скрытые таланты, проработайте слабые места и получите индивидуальные рекомендации по развитию личности. Позвольте астрологии стать вашим надежным помощником на пути к гармонии и внутреннему балансу.

Уникальная функция анализа совместимости поможет построить гармоничные отношения с партнёром, родственниками, друзьями или коллегами. Проверьте, насколько вы подходите друг другу, получите советы астролога о том, как развивать и поддерживать любовь, понимание и доверие. Любовный гороскоп освещает разные аспекты взаимоотношений, а ежедневные рекомендации помогут сделать ваши чувства более прочными и счастливыми.

Продуманный и интуитивно понятный интерфейс нашего приложения позволит быстро найти нужную информацию и пользоваться всеми функциями без лишних усилий. Мы регулярно обновляем астрологические прогнозы и добавляем новые инструменты, чтобы вы всегда были в курсе важных событий и трендов.

Особенности приложения:
• Бесплатные гороскопы на каждый день, неделю и месяц для всех знаков зодиака.
• Построение точных натальных карт для любого возраста с подробным анализом аспектов и рекомендациями.
• Совместимость партнёров и объяснения астрологических причин притяжения.
• Персональный любовный гороскоп и уникальные советы для отношений.
• Актуальные астрологические прогнозы для работы, здоровья, финансов и семейных дел.
• Удобное меню и стильный лаконичный дизайн — удобно пользоваться как дома, так и на ходу.


Наше приложение бесплатно, не требует подписки и не ограничивает в использовании функций — вы получаете всё сразу после установки! Следите за лунными фазами, ретроградным Меркурием и другими важными астрособытиями, которые могут влиять на вашу жизнь.

Присоединяйтесь к сообществу любителей астрологии уже сегодня! Скачайте наше приложение прямо сейчас, узнайте больше о себе и людях вокруг, получайте ценные советы на каждый день и развивайтесь вместе с поддержкой звезд. Откройте магию астрологии, чтобы жить ярко и гармонично!

Контактная почта - developer.sopelus@gmail.com",32,10.75,13,https://static.rustore.ru/imgproxy/4SUAOOYLdeeKKRtabLV6nLDTc3CLirN5TxbeJIIFVK0/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063642700/content/ICON/4cf492a6-1c93-45d7-89fc-41600dc6d076.png@webp,0,https://www.rustore.ru/catalog/app/com.sopelus.horoscope,2026-07-29T19:05:43.362Z
direct,ru.mynatalchart.app,Натальная карта рассчитать с расшифровкой онлайн,Образ жизни,4.9,,до 1 тыс,Нейросеть,0.1.6,24 июн 2026,"Натальная карта — ваш личный астрологический портрет, рассчитанный по дате, времени и месту рождения. Приложение помогает лучше понять себя: характер, сильные стороны, зоны роста и личные сценарии — спокойно и понятным языком.

Это больше, чем обычный гороскоп. Карта строится по реальным астрономическим данным — Солнце, Луна, асцендент, планеты, дома и аспекты — и раскрывается шаг за шагом.

Что внутри:
• Натальная карта по дате и месту рождения — красивое интерактивное колесо
• Личные разборы: характер, любовь и отношения, карьера и деньги
• Прогноз дня и важные личные периоды
• Календарь состояния души — отмечайте настроение и наблюдайте за собой
• Совместимость — взгляд на динамику ваших отношений
• «Спросить у карты» — личные ответы на ваши вопросы
• Аффирмации и спокойные практики на каждый день

Для кого:
Для всех, кто хочет лучше понимать себя и близких, замечать свои эмоции и принимать решения осознаннее. Разбираться в астрологии не нужно — приложение всё объясняет простыми словами.

Наш подход:
Спокойный premium-дизайн, бережные формулировки и забота о вас, без эзотерической мишуры. Это инструмент для самопознания, а не развлечение «на удачу».

Постройте свою натальную карту бесплатно — и открывайте астрологический профиль постепенно.",28,3.96,0,https://static.rustore.ru/imgproxy/lrb73PDmyB-Qk0eNmv_9VX-NWbJ3NOfYlMwRd8lVB6w/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/6/22/65/apk/2063722870/content/ICON/d546e542-9512-4ff8-a1ff-033f763a244b.jpg@webp,6,https://www.rustore.ru/catalog/app/ru.mynatalchart.app,2026-07-29T19:05:46.031Z
direct,com.aiastrologer.app,"AI-Астролог, Таро, Астрология, Гороскоп, Астробот",Образ жизни,4.8,,до 1 тыс,Bankr0t Studio,1.0.4,24 июл 2026,"AI Астролог — это приложение с ИИ для тех, кто хочет получить персональный гороскоп, расклад таро, толкование снов, разбор натальной карты и советы на каждый день в одном месте. Здесь собраны важные функции: гороскоп по знаку зодиака, карта дня, прогноз на неделю, совместимость по дате рождения, нумерология, удачные дни и чат с ИИ астрологом.

Если тебе нужен не просто общий гороскоп, а удобный помощник, AI Астролог помогает быстро разобраться в вопросах любви, отношений, будущего, эмоционального состояния и энергии дня. Приложение подскажет, когда лучше действовать, как интерпретировать сон, что показывает натальная карта и какие смыслы открывает расклад таро именно под твой запрос.

С помощью приложения ты можешь:
- читать гороскоп на сегодня по знаку зодиака;
- получать персональный астрологический прогноз;
- строить натальную карту по дате, времени и месту рождения;
- узнавать Асцендент, особенности характера и сильные стороны;
- делать расклады таро на любовь, отношения, чувства, ситуацию и будущее;
- открывать карту дня и получать короткое послание на сегодня;
- разбирать сны и понимать символы, эмоции и скрытые смыслы;
- проверять совместимость по дате рождения;
- получать нумерологический разбор и число пути;
- смотреть удачные дни для важных решений, встреч и начинаний;
- продолжать диалог в чате с ИИ и задавать уточняющие вопросы.

AI Астролог подойдёт тем, кто ищет:
гороскоп на сегодня, таро онлайн, расклад таро на отношения, натальная карта онлайн, совместимость знаков зодиака, совместимость по дате рождения, толкование сна, толкование снов, нумерология по дате рождения, карта дня, астропрогноз, личный гороскоп, астрология для начинающих и персональные советы от ИИ.

Главные возможности приложения:

Гороскоп и астрологический прогноз
Выбирай свой знак зодиака и получай прогноз на день. Узнавай, на что обратить внимание в любви, работе, настроении и общении. Это удобно, если нужен быстрый гороскоп на сегодня без лишней воды.

Натальная карта
Введи дату, время и место рождения, чтобы получить натальную карту и персональный разбор. Такой формат помогает лучше понять характер, жизненные сценарии, сильные и слабые стороны и особенности личной энергии.

Таро и расклады
Делай расклады таро на разные темы: отношения, чувства партнёра, текущая ситуация, выбор, перспективы и будущее. После расклада можно продолжить общение в чате и задать дополнительные вопросы по выпавшим картам.

Толкование снов
Опиши сон своими словами, а приложение поможет истолковать его сюжет, образы, настроение и возможные внутренние сигналы. Это полезно для тех, кто регулярно ищет значение сна и хочет видеть более глубокие трактовки.

Совместимость
Сравни даты рождения и получи разбор совместимости пары. Такой сценарий подходит для вопросов о любви, общении, эмоциональной связи и точках роста в отношениях.

Нумерология
Узнай число судьбы, число пути и дополнительные значения даты рождения. Нумерология помогает посмотреть на жизненные циклы, личные качества и внутренние ресурсы с другой стороны.

Удачные дни и карта дня
Смотри благоприятные даты для важных шагов, решений и встреч. Открывай карту дня, чтобы получить короткую подсказку, настроение дня и направление для фокуса.

Почему пользователям нравится AI Астролог:
- Все основные функции по астрологии, таро, снам и нумерологии собраны в одном приложении.
- Не нужно искать отдельные сервисы для гороскопа, натальной карты, совместимости и раскладов таро.
- Ответы адаптированы под личный запрос и удобно читаются с телефона.
- Приложение подходит как для ежедневного использования, так и для вопросов под конкретную ситуацию.
- Можно возвращаться к разбору и продолжать диалог с ИИ.

AI Астролог — это удобный формат для тех, кто интересуется астрологией, хочет делать расклады таро, читать гороскоп, разбирать сны, изучать натальную карту и получать персональные подсказки. Установи AI Астролог, чтобы каждый день иметь под рукой гороскоп, таро, совместимость, нумерологию и толкование снов в одном месте.",27,9.19,0,https://static.rustore.ru/imgproxy/1hfhLHLKeleCh3AReLgN29bipuEDPz_V9xSnGY58G2E/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/9/a7/apk/2063730874/content/ICON/9883a02f-2920-4a9b-a268-a5a33b24e8ea.png@webp,1,https://www.rustore.ru/catalog/app/com.aiastrologer.app,2026-07-29T19:05:48.695Z
direct,ru.astrolloai.app,Astrollo AI — натальная карта и гороскопы,Образ жизни,4.9,,до 1 тыс,"Astrollo AI — натальная карта, гороскопы, AI-астролог",1.0.6,24 июл 2026,,26,10.73,0,https://static.rustore.ru/imgproxy/2OaiwVIuLve_hKUhfgNzehY4xT7X3vGs1wPINvjQmt0/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/5/13/ec/apk/2063714344/content/ICON/b4d9d4ad-d1ec-450a-8c87-2cab890058fe.png@webp,0,https://www.rustore.ru/catalog/app/ru.astrolloai.app,2026-07-29T19:05:51.199Z
direct,com.matricasudbu.app.astro,Натальная карта. Астрология. Матрица Судьбы,Образ жизни·Развлечения,4.9,,3 тыс +,Фокин Владимир Владимирович,0.0.14,17 июл 2026,"Приложение ""Натальная карта. Астрология. Матрица Судьбы"" — это ваш личный астрологический помощник, который поможет раскрыть тайны вашего рождения, понять свой потенциал и найти ответы на важные вопросы жизни.
Введите дату, время и место рождения, чтобы получить уникальную карту, созданную на основе положения планет в момент вашего появления на свет.
Узнайте, как расположение планет, знаков зодиака и домов влияет на вашу личность, судьбу и ключевые жизненные события.
Откройте для себя свои сильные стороны в любви, карьере, финансах, здоровье и духовном развитии.",23,5.09,0,https://static.rustore.ru/imgproxy/8CPP3b_zl4GFvlQDIJS8uQz1vW4WbaJazeRsedTl3hs/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/4/8/f1/apk/2063620377/content/ICON/fd8c2873-149b-4f33-a56f-8cc06282defe.png@webp,0,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro,2026-07-29T19:05:53.631Z
direct,com.natalchart.natalchartapp,Натальная карта,Образ жизни,3.4,,1 тыс +,Молчанов Антон,1.3,15 янв 2026,"Точная астрология на основе математических вычислений.

Приложение «Натальная карта» — это профессиональный инструмент для тех, кто ищет глубокий анализ личности и объективные прогнозы. В отличие от развлекательных гороскопов, мы используем точные алгоритмы интерполяции и актуальные данные эфемерид для построения вашей уникальной астрологической матрицы.

Получите доступ к знаниям, которые ранее требовали визита к профессиональному астрологу.

КЛЮЧЕВЫЕ ФУНКЦИИ:

�� Высокоточная Натальная Карта - библиотека приложения производит сложные расчеты положения планет, домов и аспектов на основе точной даты, времени и географических координат вашего рождения. Вы получаете детальную расшифровку своего астрологического профиля: врожденные таланты, психологические особенности и кармические задачи.

❤️ Синастрия и Совместимость Научный подход к анализу отношений. Приложение накладывает натальные карты партнеров друг на друга, анализируя взаимодействие планет. Это позволяет объективно оценить потенциал отношений, будь то брак, любовь или деловое партнерство, и заранее увидеть возможные точки конфликта.

�� Персонализированные Гороскопы, основанные на реальном движении небесных тел. Отслеживайте, как текущее положение планет влияет на вашу натальную карту (транзиты). Используйте эту информацию для планирования важных событий и принятия взвешенных решений.

�� Управление Профилями Создавайте и сохраняйте неограниченное количество карт. Удобный инструмент для анализа карт друзей, членов семьи или клиентов. Все данные всегда под рукой.

ПОЧЕМУ ВЫБИРАЮТ НАС:

Достоверность: Расчеты базируются на проверенных астрономических данных.

Глубина анализа: Интерпретации учитывают множество нюансов гороскопа.

Удобство: Сложная астрологическая информация представлена в структурированном и понятном виде.

Конфиденциальность: Ваши данные используются только для расчетов внутри приложения.

ПРЕМИУМ ДОСТУП: Приложение содержит рекламу для поддержки проекта. Оформите подписку, чтобы:

Полностью отключить рекламу.

Поддержать дальнейшую разработку и улучшение алгоритмов.

Почта для связи: molchan130786@gmail.com",23,5.91,0,https://static.rustore.ru/imgproxy/11JNnkSTerbtiucljuJIk2sZ8kS5XQlE5ezkj1P6QEk/preset:web_app_icon_160/plain/https://static.rustore.ru/2025/12/25/0a/apk/2063673012/content/ICON/a99cd865-9507-43cc-b17f-4b41c78e45f5.png@webp,2,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp,2026-07-29T19:06:00.033Z
direct,com.dixtalescat.astrocode,АстроКод: натальная карта,Образ жизни·Развлечения,0,,до 1 тыс,Гуриков Илья,3.2.0,15 июл 2026,"АстроКод помогает построить персональную натальную карту, разобраться в своих сильных сторонах, получить индивидуальный гороскоп и узнать совместимость с близким человеком.

Введите дату, точное время и место рождения — приложение рассчитает положение планет, знаков Зодиака, домов и аспектов именно для вас.

НАТАЛЬНАЯ КАРТА

Получите персональную карту рождения и понятную расшифровку:

• солнечного, лунного знака и асцендента;
• положения планет в знаках и домах;
• характера, талантов и особенностей личности;
• сильных сторон и возможных точек роста.

Интерактивная карта позволяет изучать отдельные планеты, дома и астрологические показатели.

ПЕРСОНАЛЬНЫЙ ГОРОСКОП

Читайте прогнозы, рассчитанные с учётом вашей натальной карты:

• на сегодня и завтра;
• на неделю и месяц;
• на год.

Следите за общим фоном дня, лунным календарём и рекомендациями для разных сфер жизни.

СОВМЕСТИМОСТЬ

Добавьте данные второго человека и получите анализ отношений:

• эмоциональная связь;
• близость и взаимопонимание;
• семья и совместный быт;
• общение и возможные точки напряжения.

Совместимость можно рассчитать для романтических отношений, дружбы или делового партнёрства.

КНИГА СУДЬБЫ

Получите расширенный персональный отчёт на основе вашей натальной карты.

Книга Судьбы раскрывает темы характера, отношений, талантов, финансового потенциала, жизненных целей и самореализации. Готовый результат можно читать в приложении и сохранить в формате PDF.

ПЛАНИРОВАНИЕ РОЖДЕНИЯ РЕБЁНКА

Изучайте возможные даты и периоды рождения будущего ребёнка с точки зрения астрологии. Сравнивайте потенциальные особенности характера и положения планет.

Функция носит исключительно информационный и развлекательный характер и не является медицинской рекомендацией по планированию беременности.

ДОПОЛНИТЕЛЬНЫЕ ВОЗМОЖНОСТИ

• сохраняйте несколько натальных карт;
• создавайте карты для близких;
• делитесь результатами;
• получайте ежедневное «Блюдо дня»;
• возвращайтесь к сохранённым расчётам в любое время.

Основные возможности приложения доступны бесплатно. Абонемент позволяет воспользоваться услугой построения персональной Книги Судьбы и расширенного гороскопа.

АстроКод — персональная астрология без сложных расчётов и общих прогнозов для всех знаков.

Астрологические материалы предоставляются в информационных и развлекательных целях. Приложение не заменяет медицинские, юридические, психологические или финансовые консультации.",21,8.71,0,https://static.rustore.ru/imgproxy/3owVctJFEsQd2TLTT7_BbBFykKKKriysLWI8HMLk-JA/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/6/8/0f/apk/2063720975/content/ICON/bef8803c-ad72-444a-bb24-391a3247eac4.png@webp,6,https://www.rustore.ru/catalog/app/com.dixtalescat.astrocode,2026-07-29T19:06:02.229Z
direct,ru.neurodzen.app,"Нейродзен — Натальная Карта, Гороскоп, Астрология",Развлечения·Образ жизни,0,,до 1 тыс,Нейродзен,3.1,12 янв 2026,"Нейродзен — это личный ИИ-астролог и нумеролог, который за минуты строит натальные карты, анализирует совместимость, находит удачные периоды и отвечает на ваши вопросы в чате.
Обученный искусственный интеллект сочетает в себе точные расчеты и огромную базу знаний по эзотерическим учениям.

Постройте карту, узнайте сильные стороны и получите персональные рекомендации за 2 минуты. Первые 3 расчета — бесплатно.

Что умеет Нейродзен

Ваш личный прогноз на год - строим транзиты и вычисляем вероятные события и даты (переезд, новые отношения, финансовые рост).

Натальная карта: таланты, карьера, отношения, здоровье — простым языком, с примерами и чек-листами.

Нумерология: матрица судьбы, число пути, формула души, кармические уроки и персональные циклы.

Совместимость: парный разбор по датам рождения — сильные/слабые зоны и как улучшить.

Удачные периоды: когда стартовать проект, переезжать, заключать сделки.

Соляр: годовой прогноз с ключевыми темами и рекомендациями.

Уникальные разборы: Каббала, дизайн человек - узнайте себя с новой стороны.

Ежедневные подсказки: лунные дни, энергии дня, быстрые практики.

ИИ-чат: задавайте любые вопросы — ответы персонализируются под ваши данные.

Почему это удобно

Быстро: глубокие разборы за 2–3 минуты — без очередей и переплат.

Точно: Обученный искусственный интеллект сопоставляет десятки параметров и даёт прикладные выводы

Понятно: без «воды» — только смысл, примеры и действия.


Установите приложение, введите дату рождения и получите 3 разбора бесплатно",21,9.62,0,https://static.rustore.ru/imgproxy/nfA0tBQpK8Xr_L0LbcXaD6iEAtoGrS_URK1GKpEP8k8/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/1/12/4f/apk/2063667687/content/ICON/22a1939e-2d55-423b-80f1-f22a82ee2b5c.png@webp,4,https://www.rustore.ru/catalog/app/ru.neurodzen.app,2026-07-29T19:06:04.736Z
direct,com.kundalini.astroapp,Анима: Натальная карта и совместимость,Образ жизни,0,,до 1 тыс,Slow Studio,1.6,25 июл 2026,"Почему одни решения даются легко, а другие — через силу? Узнай, что говорят звёзды именно о тебе.
Анима — твой персональный помощник по ведической астрологии (Джйотиш). Приложение анализирует вашу натальную карту по системе Джйотиш и помогает принимать важные решения в согласии с космическими энергиями.
Анима — это настоящий астрологический помощник и личный астролог в вашем телефоне.
Что умеет приложение:
Натальная карта Джйотиш с детальным разбором планет, домов, асцендента (лагны) и накшатр
Персональный ежедневный прогноз по вашему лунному знаку (раши) и накшатре
Астрология отношений и совместимость с партнёром — гармония, сильные стороны, зоны роста
Панчанг — благоприятные и неблагоприятные часы каждый день
Астро-новости: ретроградные планеты, транзиты, лунные дни, затмения
Общение с Анимой — астрологом, который изучит вашу натальную карту от и до
Удобный чат с персональным астрологом

Анима Премиум:
Безлимитные натальные карты и подробные отчёты
Персональный чат с астрологом без ограничений
Анализ совместимости с любым количеством людей
Ежедневные персонализированные прогнозы на каждый день
Только точная ведическая астрология.
Никакой рекламы. Никаких общих гороскопов и случайных предсказаний — всё построено строго на ваших данных рождения.
Приложение идеально подойдёт тем, кто ищет:
ведическая астрология, джйотиш, натальная карта, астролог онлайн, астрологический помощник, совместимость по джйотиш, панчанг, накшатры, лунный календарь, астрология отношений, персональный астролог, прогноз на день.
Рекомендуемые ключевые слова для продвижения:
ведическая астрология, джйотиш, натальная карта, астролог, астрология, астролог онлайн, ведический астролог, совместимость джйотиш, панчанг, накшатра, лунный знак, астрология отношений, персональный астролог, гороскоп джйотиш, мухурта, транзиты планет, медитации",21,10.43,0,https://static.rustore.ru/imgproxy/N4KhpLve31DtPKGJ4mIOvbTG_86hIUIxkyHLrN-bH_s/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/25/05/apk/2063730207/content/ICON/34c23c2b-ce1d-4cfe-8cf2-c891393df157.jpg@webp,4,https://www.rustore.ru/catalog/app/com.kundalini.astroapp,2026-07-29T19:06:06.772Z
direct,ru.astreya.app,"Астрея: гороскоп, натальная карта, таро",Образ жизни,5,,до 1 тыс,Костромин Владимир,1.0.3,22 июл 2026,"Астрея — твой персональный астролог на базе искусственного интеллекта. Не общий гороскоп «для всех Овнов», а разбор именно твоей натальной карты: по дате, времени и месту рождения.

✨ Что умеет Астрея:

- Натальная карта — точный расчёт планет, домов и аспектов + подробный разбор личности: кто ты, в чём твоя сила, куда расти
- Персональный гороскоп на каждый день — по реальным транзитам к твоей карте, а не по знаку зодиака. Каждое утро в удобное время
- Карта дня из авторской колоды таро — 78 карт, нарисованных специально для Астреи, с трактовкой под твою карту
- Чат с Астреей — задай любой вопрос: любовь, отношения, карьера, деньги, предназначение. Ответ по твоей натальной карте, без ограничений в Premium
- Совместимость — проверь отношения с партнёром, другом, коллегой или мамой: процент, разбор по сферам чувств, быта и общения
- Детская натальная карта — сильные стороны и таланты твоего ребёнка, в чём его поддержать
- Прогноз на 2026 год — астрология по кварталам + годовой таро-расклад
- Новолуния, полнолуния и затмения — что они значат именно для тебя
- Твои жизненные циклы — какие периоды идут сейчас и что впереди

🌙 Астрея говорит тепло и по делу: без фатализма, запугиваний и воды.

Начни бесплатно: натальная карта, гороскоп дня и карта таро доступны сразу, без регистрации.

Premium открывает полный разбор карты по сферам, безлимитный чат, персональные прогнозы и циклы. 3 дня бесплатно, от 149 ₽ — напомним за день до списания, отмена в один тап в приложении.",21,10.95,0,https://static.rustore.ru/imgproxy/tSumzrf3Nzd0bZeg8gPkINmMB5vnACa6v3k1foOXQNg/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/13/8c/apk/2063731934/content/ICON/637f9c4d-1353-4100-9f95-f37c7de8bbc5.png@webp,7,https://www.rustore.ru/catalog/app/ru.astreya.app,2026-07-29T19:06:08.831Z
direct,ru.astrai.app,AstrAi — натальная карта и гороскоп,Образ жизни,0,,до 1 тыс,Полянская Марина,1.1.1,11 июл 2026,,21,11.67,0,https://static.rustore.ru/imgproxy/IRETc8a-Ysrp_oDpPKXvrfd3Q1BNEXFk1ubDoPF9YXE/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/8/08/apk/2063730771/content/ICON/490a8eb2-cbda-4812-8cad-60468e80d3bb.png@webp,4,https://www.rustore.ru/catalog/app/ru.astrai.app,2026-07-29T19:06:14.279Z
