feature,available_in_rustore_build,free_or_premium,screen,user_value,can_be_used_in_title,can_be_used_in_description,can_be_used_in_screenshots,evidence,notes
Персональный прогноз: день / неделя / месяц / год,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Mixed: Free day/teaser; Premium period depth,Dashboard,Персональный разбор периода по натальной карте,NO until release-binary validation,CONDITIONAL,CONDITIONAL,views/Dashboard.tsx:70-98; docs/RELEASE_READINESS_STATUS.md:14,Source has four periods; final RuStore binary is not available for inspection.
Гороскоп для 12 знаков: сегодня,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Free,HoroscopeReader,Ежедневный гороскоп для любого знака,"YES, conditional on release validation","YES, conditional","YES, conditional","views/v2/HoroscopeReader.tsx:151-153,260-267; docs/RELEASE_READINESS_STATUS.md:14",Week and month are Premium.
Гороскоп для знаков: неделя и месяц,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Premium,HoroscopeReader,Более длинный горизонт прогноза,NO,YES with Premium label,YES with Premium label,"views/v2/HoroscopeReader.tsx:102-103,151-153,260-267",Must not be described as free.
Натальная карта,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Free core / Premium deep reading,NatalMagazine,Карта рождения и базовый разбор,"YES, conditional on release validation","YES, conditional","YES, conditional","views/v2/NatalMagazine.tsx:44,64-66,109; docs/RELEASE_READINESS_STATUS.md:14",Best high-intent differentiator after the brand.
"Солнце, Луна и Асцендент",UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Part of natal flow,NatalMagazine,Понятные ключевые точки карты рождения,NO,"YES, conditional","YES, conditional",views/v2/NatalMagazine.tsx:64-66,Do not promise Ascendant when birth time is unknown.
Совместимость по знакам,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Free,UnionRoom,Быстрая проверка пары по солнечным знакам,RESERVE only,"YES, conditional","YES, conditional","views/v2/UnionRoom.tsx:237-248,328",Presented honestly as a general background.
Синастрия / глубокий разбор по двум картам,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Premium,UnionRoom,Разбор отношений по двум натальным картам,NO,YES with Premium label,YES with Premium label,"views/v2/UnionRoom.tsx:305,328-329,530-533",Use the clearer term 'совместимость по двум картам'; keep 'синастрия' in long description/FAQ.
Сохранённые карты,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Mixed: slot limit; Premium upsell,MyCharts,Хранить карты близких и использовать в совместимости,NO,YES after binary validation,YES after binary validation,"views/MyCharts.tsx:107,255-256,312,331,378",Do not state an exact slot count without release verification.
Вопросы по карте,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Premium; three custom questions/day,ForecastQuestions,Задать вопрос к персональному разбору,NO,YES with Premium label,YES with Premium label,"components/PersonalForecastFeed/ForecastQuestions.tsx:327,414,434",Do not position as a live astrologer.
Матрица судьбы,UNKNOWN — runtime source confirmed; APK/AAB inspection blocked,Source does not prove release entitlement,MatrixRoom,Самопонимание по числам даты рождения,NO,NO until binary/entitlement validation,NO until binary validation,views/v2/MatrixRoom.tsx:160; docs/RELEASE_READINESS_STATUS.md:14,"UI explicitly says this is self-understanding, not prediction."
Календарь и архив прогнозов,UNKNOWN — insufficient release proof,UNKNOWN,Not release-verified,Возврат к периодам,NO,NO,NO,docs/RELEASE_READINESS_STATUS.md:14,Excluded from metadata.
Вход и восстановление аккаунта,UNKNOWN — source partial; live provider tests pending,Account function,Settings,Перенести карту и Premium на другое устройство,NO,NO until live provider validation,NO,views/Settings.tsx:684-685; docs/RELEASE_READINESS_STATUS.md:8,Release status is PARTIAL.
Восстановление покупок RuStore,UNKNOWN — source partial; sandbox/physical-device test pending,Premium,Settings / startup,Вернуть ранее купленный Premium,NO,NO until RuStore sandbox validation,NO,services/rustorePayService.ts:119; App.tsx:1165-1171; docs/RELEASE_READINESS_STATUS.md:6-7,Do not claim completed payments integration yet.
Удаление аккаунта,UNKNOWN — source partial; DB integration test pending,Account function,Settings,Контроль над данными,NO,NO until integration validation,NO,views/Settings.tsx:810; App.tsx:1100; docs/RELEASE_READINESS_STATUS.md:13,Release status is PARTIAL.
Уведомления,UNKNOWN — runtime source confirmed; delivery not binary-verified,Mixed preference,Settings,Напоминания о прогнозах,NO,NO until device test,NO until device test,"views/Settings.tsx:205-221,305-308,637; docs/RELEASE_READINESS_STATUS.md:14",Keep out of launch card until a real device test passes.
