"priority","cluster","keyword","decision","placement","access","product_truth","measurement_note"
"P0","brand","NEBO","target","title,full","mixed","Текущее имя продукта","Отслеживать брендовый запрос отдельно от существующего приложения Nebo"
"P0","horoscope","гороскоп","target","title,full","mixed","Личные прогнозы и гороскопы по 12 знакам","Широкий охват и высокая конкуренция"
"P0","natal","натальная карта","target","title,first_300,full,faq","mixed","Детерминированно рассчитанная карта рождения","Главный точный продуктовый кластер"
"P0","natal","натальная карта с расшифровкой","target","first_300,full,faq","mixed","Базовая и Premium-расшифровка","Не обещать полный глубокий разбор бесплатно"
"P0","natal","рассчитать натальную карту","target","first_300,full,faq","free","Расчёт по дате, времени и месту рождения","Высокое транзакционное намерение"
"P0","natal","карта рождения","target","first_300,full","free","Синоним натальной карты","Использовать один раз естественно"
"P0","forecast","гороскоп на сегодня","target","short,full,faq","mixed","Личный Today и бесплатный Today по знакам","Развести личный и знаковый сценарии"
"P0","forecast","личный гороскоп","target","short,first_300,full","mixed","Персональный прогноз по данным рождения","Не называть расчётом текущих транзитов"
"P0","forecast","персональный прогноз","target","full,faq","mixed","Today, Week и Month","Today частично free; Week и Month Premium"
"P0","compatibility","совместимость","target","short,full,faq","mixed","По знакам и двум картам","Широкий запрос"
"P0","compatibility","совместимость по дате рождения","target","short,first_300,full,faq","premium","Разбор двух людей по данным рождения","Не обещать результат отношений"
"P0","compatibility","совместимость натальных карт","target","full,faq","premium","Сравнение двух карт","Точный продуктовый long-tail"
"P0","matrix","матрица судьбы","target","full,faq","free","Расчёт по дате рождения по системе 22 арканов","Не смешивать с психоматрицей"
"P0","matrix","матрица судьбы по дате рождения","target","full,faq","free","Активная функция приложения","Вторичный кластер, не перегружать title"
"P1","natal","натальная карта по дате рождения","target","full,faq","free","Расчёт карты рождения","Естественная вариация"
"P1","natal","расшифровка натальной карты","target","full,faq","mixed","Базовая и углублённая интерпретация","Углублённая часть Premium"
"P1","natal","асцендент","target","full,faq","mixed","Рассчитывается при известном времени рождения","Всегда указывать ограничение по времени"
"P1","natal","дома натальной карты","target","full,faq","mixed","Дома отображаются при достаточных данных","Не обещать при неизвестном времени"
"P1","natal","аспекты в натальной карте","target","full,faq","mixed","Аспекты рассчитываются и интерпретируются","Не путать с периодными аспектами"
"P1","natal","планеты в натальной карте","target","full,faq","mixed","Положения планет на карте рождения","Не обещать текущие транзиты"
"P1","astrology","астрология","target","full,faq","mixed","Натальная карта, прогнозы и энциклопедия","Слишком широкий запрос для title"
"P1","forecast","гороскоп на каждый день","target","full,faq","mixed","Today доступен ежедневно","Не обещать отдельный календарь событий"
"P1","forecast","гороскоп на неделю","target","short,full,faq","premium","Week как одна цельная история","Не дробить на календарные этапы"
"P1","forecast","гороскоп на месяц","target","short,full,faq","premium","Month как одна цельная история","Не обещать годовой прогноз"
"P1","forecast","гороскоп по знакам зодиака","target","full,faq","mixed","12 знаков; Today free, Week и Month Premium","Отдельный от личного прогноза сценарий"
"P1","compatibility","совместимость знаков зодиака","target","full,faq","free","Бесплатный сценарий по знакам","Не подменять разбором двух карт"
"P1","compatibility","синастрия","target","full,faq","premium","Подробная совместимость двух карт","Термин использовать с пояснением"
"P1","education","энциклопедия астрологии","target","full,faq","free","Материалы о планетах, домах и аспектах","Поддерживающий, не главный кластер"
"P2","forecast","ежедневный гороскоп","target","full","mixed","Today и ежедневный прогноз по знакам","Вариация основного кластера"
"P2","forecast","индивидуальный гороскоп","target","faq","mixed","Синоним личного прогноза","Не дублировать рядом с личным и персональным"
"P2","forecast","личный прогноз на неделю","target","faq","premium","Week по данным рождения","Premium должен быть указан"
"P2","forecast","личный прогноз на месяц","target","faq","premium","Month по данным рождения","Premium должен быть указан"
"P2","natal","натальная карта онлайн","target","faq","mixed","Функция требует сетевые сервисы","Не обещать офлайн-работу"
"P2","natal","натальная карта бесплатно","guarded","faq","free","Базовая карта бесплатна","Нельзя создавать ожидание бесплатного полного разбора"
"P2","forecast","бесплатный гороскоп","guarded","faq","free","Today по знакам и часть личного Today бесплатны","Указывать точный объём бесплатного доступа"
"P2","ai","ИИ астролог","guarded","faq","premium","ИИ отвечает по сохранённой карте","Не называть живым специалистом или чатом"
"P2","ai","вопрос астрологу","guarded","faq","premium","Фактически отвечает ИИ, до пяти вопросов в день","Использовать только с прямым раскрытием механики"
"NEG","unavailable","таро","exclude","none","none","Функции нет","Не использовать ради трафика"
"NEG","unavailable","руны","exclude","none","none","Функции нет","Не использовать ради трафика"
"NEG","unavailable","нумерология","exclude","none","none","Отдельной нумерологии нет","Матрица судьбы не даёт права обещать весь кластер"
"NEG","unavailable","психоматрица","exclude","none","none","Функции нет","Не смешивать с Матрицей судьбы"
"NEG","unavailable","квадрат Пифагора","exclude","none","none","Функции нет","Не смешивать с Матрицей судьбы"
"NEG","unavailable","лунный календарь","exclude","none","none","Отдельной функции нет","Не использовать статьи как обещание инструмента"
"NEG","unavailable","ретроградный Меркурий трекер","exclude","none","none","Отдельной функции нет","Не использовать статьи как обещание трекера"
"NEG","unavailable","транзиты сегодня","exclude","none","none","Периодные транзиты не рассчитываются","Критичный запрет на ложное обещание"
"NEG","unavailable","гороскоп на завтра","exclude","none","none","Такого периода нет","Не добавлять в metadata"
"NEG","unavailable","гороскоп на год","exclude","none","none","Такого периода нет","Не добавлять в metadata"
"NEG","misleading","живой астролог","exclude","none","none","Ответ формирует ИИ","Не создавать ложное ожидание"
"NEG","misleading","чат с астрологом","exclude","none","none","Безлимитного чата нет","Вопрос является ограниченным действием"
"NEG","misleading","точный гороскоп","exclude","none","none","Точность результата не гарантируется","Кликбейт и риск модерации"
"NEG","unavailable","совместимость по имени","exclude","none","none","Расчёт строится не по имени","Не использовать ради широкого трафика"
