"keyword","cluster","intent","product_relevance","journey_stage","availability","status","source_type","source_evidence","demand_proxy","demand_score","competition_score","rustore_relevance","conversion_potential","business_value","strategic_value","winability_score","opportunity_score","tier","target","metadata_placement","notes"
"гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26: 500 results; top results include exact-title Гороскоп apps and ENIGMATA","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","9","10","10","7","7","10","56","79","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"гороскоп сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Mixed","Target","Proxy","Observed RuStore SERP; planned authenticated validation in ASOdesk Search Explorer https://hq.asodesk.com/stores-analytics/search-explorer?locale=ru","RuStore volume unavailable — proxy: RuStore SERP now; ASOdesk Daily Impressions and Difficulty pending login; no demo metrics used","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"гороскоп на сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","10","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","9","9","10","9","8","10","61","86","S","TOP-1","short","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"ежедневный гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Evidence","RuStore SERP 2026-08-26 for гороскоп: ENIGMATA title contains Ежедневный гороскоп","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","9","10","8","7","9","58","79","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"гороскоп на каждый день","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Mixed","Target","Evidence","RuStore SERP 2026-08-26 for гороскоп: multiple top-10 titles contain Гороскоп на каждый день","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"гороскоп на неделю","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"гороскоп на месяц","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","S","TOP-1","short/full","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"личный гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","10","9","9","10","63","87","S","TOP-1","short","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"персональный гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","10","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","7","8","10","9","9","10","63","85","S","TOP-1","short","Стратегическая TOP-1 цель; сначала индексация и CVR затем рейтинг отзывы и install velocity; гарантии TOP-1 нет"
"гороскоп по дате рождения","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
